Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,MA20,MA100,Month,Volatility,MA_20,MA_50,Trend_Strength,Volatility_20,Volatility_50
2002-12-27,41.37883824677445,41.54613699270707,39.99396474453436,40.1612663269043,956984,0.0,0.0,,38.11276969909668,30.84517023086548,12,1.5521722481727096,,,,,
2002-12-30,40.15197166110538,42.921713016115945,39.23182287782585,42.494171142578125,4253744,0.0,0.0,0.05808842770754463,38.47571773529053,30.97492053985596,12,3.689890138290096,,,,,
2002-12-31,42.77301311169352,45.42192845577843,41.639090321053935,44.69696044921875,9998480,0.0,0.0,0.05183744611113217,38.84795989990234,31.13069538116455,12,3.782838134724493,,,,,
2003-01-01,44.60399352602842,46.081808141245226,44.60399352602842,45.421905517578125,6027072,0.0,0.0,0.016219113359688064,39.31872291564942,31.31379566192627,1,1.4778146152168077,,,,,
2003-01-02,45.7472170860293,46.78819226075451,43.06112269782852,43.34925079345703,5325328,0.0,0.0,-0.04563117069844158,39.64030990600586,31.47616939544677,1,3.7270695629259913,,,,,
2003-01-03,44.61331526971986,45.39404771965232,43.49798238797687,43.87905502319336,4198040,0.0,0.0,0.01222176208443937,39.94005603790284,31.64449182510376,1,1.896065331675452,,,,,
2003-01-06,44.557537918935374,44.75272169611248,42.289695476077206,42.577823638916016,4121520,0.0,0.0,-0.0296549545925624,40.26582660675049,31.806493968963625,1,2.4630262200352746,,,,,
2003-01-07,43.126206499139,43.49798414137295,41.68556813548241,42.085227966308594,2650800,0.0,0.0,-0.011569301352387318,40.52560615539551,31.95622747421265,1,1.8124160058905403,,,,,
2003-01-08,42.642874374138266,43.981275525862976,42.32686409415098,43.59090805053711,2648456,0.0,0.0,0.03577692594261084,40.77376766204834,32.107726917266845,1,1.6544114317119991,,,,,
2003-01-09,43.86974774348094,44.72483718153053,43.4607930351936,44.01845932006836,2630400,0.0,0.0,0.00980826710550664,41.02750644683838,32.25123302459717,1,1.2640441463369283,,,,,
2003-01-10,44.61330090022736,44.61330090022736,41.09070958393436,41.32307052612305,1702816,0.0,0.0,-0.061233147083738615,41.13857517242432,32.349940090179444,1,3.522591316292996,,,,,
